text,n,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @The_RockTrading: Imagine $TSLA back to 400. 💥 goodnight.,FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rolo_d0me,4,TRUE,FALSE,NA,NA
"RT @bevedoni: Tesla is a collection of a lot of startups, all of which are very successful in their setup and grow in a parallel speed. Tes…",FALSE,0,NA,22-01-2022 05:20,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",missufekun,157,TRUE,FALSE,NA,NA
RT @stockversus: @elonmusk can f*k up Kenny plans if he announces he’s buying #bitcoin lol where is our hero? $GME $AMC $TSLA,FALSE,0,NA,22-01-2022 05:20,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",margzilla123,1,TRUE,FALSE,NA,NA
"RT @jasondebolt: If investing were easy, everyone would be rich.

The same people who call you lucky for your investment gains are the ones…",FALSE,0,NA,22-01-2022 05:19,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",lingua_nut,91,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:19,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kyawmyowin16,15,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:19,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dingdong290,15,TRUE,FALSE,NA,NA
@ValueAnalyst1 $TSLA one day will buy $AMZN as subsidiary haha,FALSE,0,ValueAnalyst1,22-01-2022 05:19,FALSE,1.48476E+18,1.48476E+18,7.32548E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teshen8lin,0,FALSE,FALSE,NA,NA
"RT @ripster47: $NFLX $PTON $SHOP $TSLA #tradingtips 
Trade examples on how to use a System

Trend Following System + Support Resistance + M…",FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Gobongch,24,TRUE,FALSE,NA,NA
$CENN guys let’s be honest this could literally just blow up and hit $5 $6 or more without any news. We just have t… https://t.co/y1vtyEuneu,FALSE,0,NA,22-01-2022 05:18,TRUE,NA,1.48476E+18,NA,"<a href=""https://metoomovement.com"" rel=""nofollow"">#metoo - Sentiment Analysis</a>",Sagar91319679,0,FALSE,FALSE,NA,NA
RT @JesseCohenInv: $AAPL $MSFT $GOOGL $AMZN $TSLA https://t.co/dpEkl1BpZs,FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",immersibles,197,TRUE,FALSE,NA,NA
⁦@elonmusk⁩ constantly lie investor; ⁦@SECGov⁩ should look into his tweet which is clear manipulation. Last year he… https://t.co/WMC1MmOc2p,FALSE,1,NA,22-01-2022 05:18,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",freefdacalendar,0,FALSE,FALSE,NA,NA
. @chrislarsensf warned you $TSLA dumps revealed next https://t.co/rZRIr4vCaK,FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TradersonTrade,0,FALSE,FALSE,NA,NA
"RT @blueskykites: Hodling is conviction. #Buythedip #dollarcostaveraging $TSLA #Tesla @Tesla

@WholeMarsBlog @TeslaHype https://t.co/sMdi3r…",FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rand0mNPC,4,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DogecoinTweet,15,TRUE,FALSE,NA,NA
"RT @jasondebolt: When you invest, it’s not your money anymore. It’s allocated capital. Detachment is essential. It’s a long term game.

Man…",FALSE,0,NA,22-01-2022 05:17,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rsoltis417,59,TRUE,FALSE,NA,NA
"5 Bad Habits of An Options Trader (and the Solutions)

https://t.co/l15qXYlial

$spy $aapl $tsla",FALSE,0,NA,22-01-2022 05:17,FALSE,NA,1.48476E+18,NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">smartoptionsai</a>",SmartOptionsAi,0,FALSE,FALSE,NA,NA
Subscribe to this incredible high return trading model: https://t.co/ZZmx60Yu6o $VIX $SPY $AAPL $TSLA $FB $AMZN $GOOGL $NFLX,FALSE,0,NA,22-01-2022 05:17,FALSE,NA,1.48476E+18,NA,"<a href=""https://profectussystems.autotradenow.com/"" rel=""nofollow"">Profectus Systems App</a>",ProfectuSystems,0,FALSE,FALSE,NA,NA
Reasons to Sell… $TSLA https://t.co/PVkb4i8TMq,FALSE,20,NA,22-01-2022 05:16,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teslaunivrse,4,FALSE,FALSE,NA,NA
~I'm part of a server where top traders actually get paid based on results (over $70k last month). All based on mer… https://t.co/4FHu6sIZSy,FALSE,0,NA,22-01-2022 05:16,TRUE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",dixiw166,0,FALSE,FALSE,NA,NA
