text,n,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ValueAnalyst1: You’re not a true $TSLA Bull until you’ve watched your savings halve in a week 🔥,FALSE,0,NA,22-01-2022 05:39,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",KellieAnnOxford,56,TRUE,FALSE,NA,NA
"RT @Umbisam: Several Chinese outlets reports that Tesla will officially launch the new 'Model Q' [😂] in 2023, be priced at $24,990 and will…",FALSE,0,NA,22-01-2022 05:38,FALSE,NA,1.48476E+18,NA,"<a href=""https://www.madmods4u.com"" rel=""nofollow"">StreamHelperApp</a>",HelperStream,31,TRUE,FALSE,NA,NA
"RT @Umbisam: Reminder: Today, Jan 21, 2021, GigaShanghai Producing &amp; Shipping Regardless Wall Street Whales' Tricky Games. $TSLA
(courtesy…",FALSE,0,NA,22-01-2022 05:37,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,23,TRUE,FALSE,NA,NA
RT @JesseCohenInv: $AAPL $MSFT $GOOGL $AMZN $TSLA https://t.co/dpEkl1BpZs,FALSE,0,NA,22-01-2022 05:37,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",elislmy,197,TRUE,FALSE,NA,NA
"RT @Umbisam: Several Chinese outlets reports that Tesla will officially launch the new 'Model Q' [😂] in 2023, be priced at $24,990 and will…",FALSE,0,NA,22-01-2022 05:36,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wcli1108,31,TRUE,FALSE,NA,NA
"Twitter's Top Stocks: 

$amc  Price: $17.97  Mentions: 641
$gme  Price: $106.36  Mentions: 636
$PTON  Price: $27.06… https://t.co/2uhN9DywLU",FALSE,0,NA,22-01-2022 05:36,TRUE,NA,1.48476E+18,NA,"<a href=""https://www.linkedin.com/in/khalil-alkassis-aa0b8578/"" rel=""nofollow"">HotTakesBot</a>",RealHotTakesBot,0,FALSE,FALSE,NA,NA
"Supplemented by EXPERIENCE AND ABILITY TO TIME THE MARKET!
$tsla $tslaq! Up $7 mil . Lost $2.5 mil… https://t.co/r1KDpznZgN",FALSE,0,NA,22-01-2022 05:36,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",InvestorSwan,0,FALSE,FALSE,NA,NA
RT @Kristennetten: $TSLA for the long haul ♥️,FALSE,0,NA,22-01-2022 05:36,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rakesh31046324,13,TRUE,FALSE,NA,NA
RT @JesseCohenInv: $AAPL $MSFT $GOOGL $AMZN $TSLA https://t.co/dpEkl1BpZs,FALSE,0,NA,22-01-2022 05:36,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dleogudskshk,197,TRUE,FALSE,NA,NA
"Twitter's Recommended BUY:

$PTON Mentions: 225
$SPY Mentions: 186
$TSLA Mentions: 153

Twitter's Recommended SELL:… https://t.co/pUE592pOSv",FALSE,0,NA,22-01-2022 05:36,TRUE,NA,1.48476E+18,NA,"<a href=""https://www.linkedin.com/in/khalil-alkassis-aa0b8578/"" rel=""nofollow"">HotTakesBot</a>",RealHotTakesBot,0,FALSE,FALSE,NA,NA
